age_group,job,marital,education,contact,month,balance_bucket,balance,campaign,pdays,previous,y
18-25,Unknown,single,Unknown,Unknown,may,1-1K,329,2,-1,0,FALSE
18-25,Unknown,single,secondary,cellular,jul,1-1K,3,1,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,may,1-1K,122,1,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,may,1-1K,131,1,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,may,<=0,-1,1,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,may,1-1K,787,1,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,may,1-1K,61,9,-1,0,FALSE
18-25,admin.,married,secondary,Unknown,may,1-1K,10,2,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,may,1-1K,96,2,-1,0,FALSE
18-25,admin.,single,tertiary,Unknown,may,1-1K,40,1,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,may,1-1K,290,4,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,may,1-1K,5,1,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,may,1K-5K,1104,2,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,may,1-1K,1,12,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,may,1-1K,845,1,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,may,1-1K,768,1,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,may,1-1K,5,1,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,may,1-1K,281,1,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,may,1-1K,507,3,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,may,1-1K,53,4,-1,0,FALSE
18-25,admin.,married,secondary,Unknown,may,1-1K,16,1,-1,0,FALSE
18-25,admin.,married,tertiary,Unknown,may,1-1K,2,1,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,may,1-1K,118,1,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,may,1-1K,178,1,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,may,1-1K,325,1,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,may,1-1K,770,1,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,may,1-1K,304,3,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,may,1K-5K,1019,26,-1,0,FALSE
18-25,admin.,single,tertiary,Unknown,may,1K-5K,1141,1,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,may,1-1K,96,1,-1,0,FALSE
18-25,admin.,married,secondary,Unknown,may,1-1K,836,1,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,may,1-1K,345,2,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,may,<=0,-507,1,-1,0,FALSE
18-25,admin.,single,Unknown,Unknown,may,<=0,-28,1,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,may,1-1K,795,2,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,may,1K-5K,4681,2,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,may,1K-5K,4590,2,-1,0,FALSE
18-25,admin.,married,secondary,Unknown,may,1-1K,894,1,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,may,1K-5K,1235,3,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,jun,1-1K,120,1,-1,0,FALSE
18-25,admin.,single,tertiary,Unknown,jun,1-1K,407,1,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,jun,1-1K,66,1,-1,0,FALSE
18-25,admin.,married,secondary,Unknown,jun,1-1K,262,3,-1,0,FALSE
18-25,admin.,married,secondary,Unknown,jun,1-1K,967,1,-1,0,FALSE
18-25,admin.,married,secondary,Unknown,jun,1-1K,541,4,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,jun,<=0,0,2,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,jun,1-1K,66,3,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,jun,1-1K,66,2,-1,0,FALSE
18-25,admin.,married,secondary,Unknown,jun,1-1K,299,1,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,jun,1-1K,681,3,-1,0,FALSE
18-25,admin.,single,secondary,Unknown,jul,<=0,-346,2,-1,0,FALSE
18-25,admin.,single,secondary,cellular,jul,<=0,0,3,-1,0,FALSE
18-25,admin.,married,secondary,cellular,jul,1-1K,142,2,-1,0,FALSE
18-25,admin.,single,secondary,cellular,jul,1-1K,19,1,-1,0,FALSE
18-25,admin.,single,secondary,telephone,jul,1-1K,184,7,-1,0,FALSE
18-25,admin.,single,secondary,cellular,jul,<=0,-213,1,-1,0,FALSE
18-25,admin.,married,secondary,cellular,jul,1-1K,18,1,-1,0,FALSE
18-25,admin.,single,secondary,cellular,jul,1-1K,105,1,-1,0,FALSE
18-25,admin.,single,secondary,cellular,jul,1-1K,289,3,-1,0,FALSE
18-25,admin.,single,secondary,cellular,jul,1-1K,18,1,-1,0,FALSE
18-25,admin.,married,secondary,cellular,jul,1-1K,7,3,-1,0,FALSE
18-25,admin.,married,Unknown,cellular,jul,1-1K,349,8,-1,0,TRUE
18-25,admin.,married,secondary,cellular,jul,1-1K,789,1,-1,0,FALSE
18-25,admin.,single,secondary,cellular,jul,<=0,0,1,-1,0,FALSE
18-25,admin.,married,secondary,cellular,jul,1-1K,242,12,-1,0,FALSE
18-25,admin.,single,secondary,telephone,jul,1-1K,230,14,-1,0,FALSE
18-25,admin.,single,secondary,cellular,jul,<=0,-7,36,-1,0,FALSE
18-25,admin.,single,secondary,telephone,nov,1-1K,40,1,-1,0,FALSE
18-25,admin.,single,secondary,cellular,feb,1-1K,483,1,-1,0,TRUE
18-25,admin.,single,secondary,cellular,feb,1-1K,172,1,-1,0,FALSE
18-25,admin.,single,tertiary,cellular,feb,1-1K,897,4,-1,0,TRUE
18-25,admin.,single,secondary,cellular,feb,1-1K,99,3,-1,0,FALSE
18-25,admin.,single,secondary,cellular,feb,1-1K,33,1,-1,0,TRUE
18-25,admin.,single,tertiary,cellular,feb,1-1K,760,2,-1,0,FALSE
18-25,admin.,single,tertiary,cellular,feb,1K-5K,3730,1,-1,0,TRUE
18-25,admin.,single,secondary,cellular,mar,1K-5K,1099,12,-1,0,FALSE
18-25,admin.,single,tertiary,cellular,mar,<=0,0,2,-1,0,FALSE
18-25,admin.,single,tertiary,cellular,mar,<=0,-61,4,-1,0,TRUE
18-25,admin.,single,secondary,cellular,mar,1-1K,493,2,-1,0,FALSE
18-25,admin.,single,tertiary,cellular,mar,1-1K,242,4,-1,0,FALSE
18-25,admin.,single,secondary,cellular,mar,1-1K,114,1,-1,0,TRUE
18-25,admin.,single,secondary,cellular,mar,1-1K,753,15,-1,0,FALSE
18-25,admin.,single,secondary,cellular,apr,1-1K,5,1,330,1,FALSE
18-25,admin.,single,secondary,cellular,apr,1-1K,82,2,-1,0,TRUE
18-25,admin.,single,secondary,cellular,apr,1-1K,654,1,-1,0,FALSE
18-25,admin.,single,tertiary,cellular,apr,1-1K,314,4,-1,0,TRUE
18-25,admin.,single,tertiary,cellular,apr,1K-5K,1420,2,-1,0,FALSE
18-25,admin.,single,secondary,cellular,apr,1-1K,60,2,-1,0,FALSE
18-25,admin.,married,secondary,cellular,apr,<=0,0,1,-1,0,FALSE
18-25,admin.,single,secondary,cellular,apr,<=0,0,2,-1,0,FALSE
18-25,admin.,single,secondary,cellular,apr,1-1K,61,1,-1,0,FALSE
18-25,admin.,single,secondary,cellular,apr,1K-5K,1052,1,-1,0,TRUE
18-25,admin.,single,secondary,cellular,apr,1-1K,483,1,86,1,FALSE
18-25,admin.,single,secondary,cellular,apr,1K-5K,2816,1,-1,0,TRUE
18-25,admin.,single,tertiary,cellular,may,1-1K,897,4,89,4,FALSE
18-25,admin.,single,secondary,cellular,may,1-1K,99,3,89,3,FALSE
18-25,admin.,single,secondary,cellular,may,<=0,0,1,-1,0,FALSE
18-25,admin.,single,secondary,cellular,may,<=0,-386,1,-1,0,FALSE
18-25,admin.,single,tertiary,cellular,may,1K-5K,1141,1,347,1,FALSE
18-25,admin.,single,tertiary,cellular,may,1-1K,805,2,-1,0,FALSE
18-25,admin.,single,secondary,cellular,may,1-1K,589,1,-1,0,FALSE
18-25,admin.,married,secondary,cellular,may,1-1K,299,1,321,1,FALSE
18-25,admin.,married,secondary,cellular,may,1-1K,61,1,343,2,FALSE
18-25,admin.,single,secondary,cellular,may,1K-5K,1725,1,-1,0,FALSE
18-25,admin.,single,secondary,cellular,may,1-1K,122,2,-1,0,TRUE
18-25,admin.,single,secondary,cellular,may,1-1K,53,6,-1,0,FALSE
18-25,admin.,single,secondary,cellular,may,1-1K,21,3,-1,0,FALSE
18-25,admin.,single,secondary,cellular,may,1K-5K,1235,1,349,3,FALSE
18-25,admin.,single,secondary,cellular,may,1-1K,248,1,-1,0,FALSE
18-25,admin.,single,secondary,cellular,may,1-1K,738,1,-1,0,FALSE
18-25,admin.,married,secondary,cellular,may,1-1K,230,1,-1,0,FALSE
18-25,admin.,married,secondary,cellular,may,1-1K,541,1,344,4,FALSE
18-25,admin.,married,secondary,cellular,may,<=0,-94,1,-1,0,FALSE
18-25,admin.,single,secondary,cellular,may,1-1K,926,1,-1,0,FALSE
18-25,admin.,single,secondary,cellular,may,1-1K,252,1,-1,0,FALSE
18-25,admin.,single,secondary,cellular,may,1-1K,118,3,-1,0,FALSE
18-25,admin.,single,tertiary,cellular,may,1K-5K,1056,1,-1,0,FALSE
18-25,admin.,single,secondary,cellular,may,1-1K,507,1,367,3,TRUE
18-25,admin.,single,secondary,cellular,may,1-1K,66,1,330,2,FALSE
18-25,admin.,single,secondary,cellular,may,1-1K,290,3,368,4,FALSE
18-25,admin.,married,secondary,cellular,may,1-1K,349,1,-1,0,FALSE
18-25,admin.,single,secondary,cellular,may,1-1K,845,1,370,1,FALSE
18-25,admin.,single,secondary,cellular,may,1-1K,120,1,-1,0,FALSE
18-25,admin.,single,secondary,cellular,may,1K-5K,3505,1,355,1,FALSE
18-25,admin.,single,secondary,cellular,may,1K-5K,1157,2,-1,0,FALSE
18-25,admin.,single,secondary,cellular,may,1-1K,843,2,-1,0,FALSE
18-25,admin.,single,tertiary,cellular,may,1-1K,220,1,-1,0,FALSE
18-25,admin.,married,tertiary,cellular,may,1-1K,906,1,-1,0,TRUE
18-25,admin.,single,secondary,cellular,may,1-1K,524,1,-1,0,TRUE
18-25,admin.,single,tertiary,cellular,may,<=0,0,2,-1,0,TRUE
18-25,admin.,single,secondary,cellular,may,1-1K,425,1,-1,0,FALSE
18-25,admin.,single,secondary,cellular,may,1K-5K,1358,2,-1,0,FALSE
18-25,admin.,single,tertiary,cellular,may,1-1K,760,3,89,2,TRUE
18-25,admin.,single,secondary,cellular,jun,1-1K,222,3,-1,0,FALSE
18-25,admin.,single,secondary,cellular,jun,1K-5K,1871,1,-1,0,TRUE
18-25,admin.,single,secondary,cellular,jun,1-1K,336,1,-1,0,FALSE
18-25,admin.,single,tertiary,cellular,jun,1-1K,230,1,-1,0,FALSE
18-25,admin.,single,tertiary,cellular,jun,1-1K,377,1,-1,0,FALSE
18-25,admin.,single,tertiary,cellular,jun,1-1K,454,1,-1,0,FALSE
18-25,admin.,single,tertiary,cellular,jun,1K-5K,1185,1,-1,0,FALSE
18-25,admin.,single,tertiary,cellular,jun,1-1K,106,1,-1,0,FALSE
18-25,admin.,single,secondary,cellular,jun,<=0,-98,1,-1,0,FALSE
18-25,admin.,single,secondary,cellular,jul,1-1K,285,3,-1,0,TRUE
18-25,admin.,single,secondary,cellular,jul,1-1K,302,1,-1,0,FALSE
18-25,admin.,single,secondary,cellular,jul,1-1K,749,4,-1,0,FALSE
18-25,admin.,single,secondary,cellular,aug,1K-5K,4111,1,-1,0,FALSE
18-25,admin.,single,tertiary,cellular,aug,1-1K,11,3,-1,0,FALSE
18-25,admin.,single,tertiary,cellular,sep,<=0,0,1,103,2,FALSE
18-25,admin.,single,secondary,cellular,sep,1K-5K,1871,1,96,1,TRUE
18-25,admin.,single,tertiary,cellular,oct,1K-5K,1185,1,114,1,TRUE
18-25,admin.,single,tertiary,cellular,feb,1-1K,897,2,280,8,TRUE
18-25,admin.,single,secondary,cellular,apr,1K-5K,1295,1,-1,0,TRUE
18-25,admin.,single,tertiary,cellular,jul,1-1K,674,1,-1,0,TRUE
18-25,admin.,single,secondary,cellular,jul,1K-5K,1055,1,-1,0,FALSE
18-25,admin.,single,secondary,cellular,jul,1K-5K,1295,2,92,1,TRUE
18-25,admin.,single,secondary,Unknown,aug,1-1K,366,1,-1,0,FALSE
18-25,admin.,single,secondary,cellular,sep,1-1K,166,2,-1,0,TRUE
18-25,admin.,single,secondary,cellular,oct,1-1K,372,1,-1,0,TRUE
18-25,admin.,single,tertiary,cellular,oct,1K-5K,2916,1,-1,0,FALSE
18-25,admin.,single,tertiary,cellular,oct,1K-5K,1734,1,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,may,<=0,-7,1,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,may,1-1K,94,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,<=0,0,2,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,<=0,0,2,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,1-1K,249,5,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,may,1-1K,951,2,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,may,1-1K,237,2,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,1-1K,117,1,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,may,1-1K,94,2,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,may,<=0,-76,3,-1,0,FALSE
18-25,blue-collar,single,primary,Unknown,may,<=0,-168,3,-1,0,FALSE
18-25,blue-collar,single,primary,Unknown,may,1-1K,17,2,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,1-1K,335,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,1-1K,129,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,<=0,-10,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,1-1K,614,3,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,<=0,-273,1,-1,0,FALSE
18-25,blue-collar,single,primary,Unknown,may,1K-5K,2594,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,<=0,-250,1,-1,0,FALSE
18-25,blue-collar,single,Unknown,Unknown,may,1-1K,11,2,-1,0,FALSE
18-25,blue-collar,married,primary,Unknown,may,<=0,-427,3,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,may,1-1K,53,2,-1,0,FALSE
18-25,blue-collar,married,primary,Unknown,may,<=0,-213,2,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,may,1-1K,32,3,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,<=0,-95,3,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,<=0,0,2,-1,0,FALSE
18-25,blue-collar,single,primary,Unknown,may,1-1K,758,1,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,may,1-1K,142,1,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,may,1-1K,109,1,-1,0,FALSE
18-25,blue-collar,married,primary,Unknown,may,1-1K,656,1,-1,0,TRUE
18-25,blue-collar,single,secondary,Unknown,may,1-1K,77,2,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,1-1K,105,2,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,1-1K,815,6,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,may,1-1K,77,1,-1,0,FALSE
18-25,blue-collar,married,primary,Unknown,may,<=0,-172,3,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,<=0,0,1,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,may,1-1K,300,3,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,<=0,0,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,1-1K,525,1,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,may,1-1K,36,3,-1,0,FALSE
18-25,blue-collar,single,Unknown,Unknown,may,1-1K,76,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,1K-5K,3992,2,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,may,1-1K,316,2,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,1-1K,9,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,1-1K,491,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,1-1K,171,2,-1,0,FALSE
18-25,blue-collar,single,primary,Unknown,may,1-1K,965,4,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,<=0,0,2,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,may,1-1K,51,2,-1,0,FALSE
18-25,blue-collar,single,primary,Unknown,may,<=0,-221,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,<=0,-286,2,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,may,1-1K,984,3,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,may,<=0,-213,2,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,may,1-1K,685,3,-1,0,TRUE
18-25,blue-collar,married,secondary,Unknown,may,1-1K,9,7,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,<=0,-187,4,-1,0,FALSE
18-25,blue-collar,single,primary,Unknown,may,<=0,-627,1,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,may,1-1K,223,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,<=0,-143,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,1K-5K,2354,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,<=0,-438,1,-1,0,FALSE
18-25,blue-collar,single,primary,Unknown,may,1-1K,6,2,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,1-1K,13,3,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,1-1K,154,2,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,may,1-1K,97,1,-1,0,TRUE
18-25,blue-collar,single,secondary,Unknown,may,1-1K,26,2,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,may,<=0,-254,2,-1,0,FALSE
18-25,blue-collar,single,primary,Unknown,may,1-1K,111,4,-1,0,FALSE
18-25,blue-collar,married,primary,Unknown,may,1-1K,657,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,5K-20K,8594,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,1-1K,214,1,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,may,<=0,0,1,-1,0,FALSE
18-25,blue-collar,married,primary,Unknown,may,1-1K,933,3,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,may,1-1K,391,18,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,1K-5K,1966,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,1-1K,207,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,1-1K,674,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,1-1K,327,2,-1,0,FALSE
18-25,blue-collar,divorced,secondary,Unknown,may,1K-5K,2428,4,-1,0,FALSE
18-25,blue-collar,single,primary,Unknown,may,1K-5K,3198,2,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,may,1K-5K,1025,2,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,1-1K,579,4,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,may,1-1K,192,3,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,may,1-1K,758,3,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,1K-5K,1429,3,-1,0,FALSE
18-25,blue-collar,married,primary,Unknown,may,1-1K,172,3,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,1-1K,352,5,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,1K-5K,1690,3,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,5K-20K,5145,3,-1,0,FALSE
18-25,blue-collar,single,primary,Unknown,may,1-1K,155,4,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,may,<=0,-189,3,-1,0,FALSE
18-25,blue-collar,single,primary,Unknown,jun,1-1K,147,2,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,jun,1-1K,27,2,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,jun,1K-5K,2096,2,-1,0,FALSE
18-25,blue-collar,married,primary,Unknown,jun,<=0,-589,1,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,jun,1K-5K,1073,2,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,jun,1K-5K,1311,3,-1,0,FALSE
18-25,blue-collar,single,Unknown,Unknown,jun,1-1K,431,12,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,jun,<=0,-207,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,jun,1K-5K,4084,7,-1,0,FALSE
18-25,blue-collar,single,primary,Unknown,jun,5K-20K,8627,1,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,jun,<=0,-389,1,-1,0,TRUE
18-25,blue-collar,single,primary,Unknown,jun,1-1K,145,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,jun,<=0,0,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,jun,<=0,-59,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,jun,1-1K,330,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,jun,1-1K,492,1,-1,0,TRUE
18-25,blue-collar,single,secondary,Unknown,jun,1-1K,476,1,-1,0,FALSE
18-25,blue-collar,married,primary,Unknown,jun,<=0,-426,2,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,jun,1-1K,2,2,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,jun,<=0,-507,2,-1,0,FALSE
18-25,blue-collar,divorced,secondary,Unknown,jun,1-1K,720,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,jun,1-1K,150,2,-1,0,FALSE
18-25,blue-collar,single,primary,Unknown,jun,1-1K,116,4,-1,0,FALSE
18-25,blue-collar,married,primary,Unknown,jun,<=0,-83,17,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,jun,<=0,-203,3,-1,0,TRUE
18-25,blue-collar,married,secondary,Unknown,jun,<=0,0,4,-1,0,FALSE
18-25,blue-collar,married,secondary,Unknown,jun,1K-5K,1782,1,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,jun,<=0,-191,7,-1,0,TRUE
18-25,blue-collar,married,secondary,Unknown,jun,<=0,-306,3,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,jun,1-1K,94,16,-1,0,FALSE
