age_group,job,marital,education,balance_bucket,contact,month,success_flag
18-25,Unknown,single,Unknown,1-1K,Unknown,may,0
18-25,Unknown,single,secondary,1-1K,cellular,jul,0
18-25,admin.,single,secondary,1-1K,Unknown,may,0
18-25,admin.,single,secondary,1-1K,Unknown,may,0
18-25,admin.,single,secondary,<=0,Unknown,may,0
18-25,admin.,single,secondary,1-1K,Unknown,may,0
18-25,admin.,single,secondary,1-1K,Unknown,may,0
18-25,admin.,married,secondary,1-1K,Unknown,may,0
18-25,admin.,single,secondary,1-1K,Unknown,may,0
18-25,admin.,single,tertiary,1-1K,Unknown,may,0
18-25,admin.,single,secondary,1-1K,Unknown,may,0
18-25,admin.,single,secondary,1-1K,Unknown,may,0
18-25,admin.,single,secondary,1K-5K,Unknown,may,0
18-25,admin.,single,secondary,1-1K,Unknown,may,0
18-25,admin.,single,secondary,1-1K,Unknown,may,0
18-25,admin.,single,secondary,1-1K,Unknown,may,0
18-25,admin.,single,secondary,1-1K,Unknown,may,0
18-25,admin.,single,secondary,1-1K,Unknown,may,0
18-25,admin.,single,secondary,1-1K,Unknown,may,0
18-25,admin.,single,secondary,1-1K,Unknown,may,0
18-25,admin.,married,secondary,1-1K,Unknown,may,0
18-25,admin.,married,tertiary,1-1K,Unknown,may,0
18-25,admin.,single,secondary,1-1K,Unknown,may,0
18-25,admin.,single,secondary,1-1K,Unknown,may,0
18-25,admin.,single,secondary,1-1K,Unknown,may,0
18-25,admin.,single,secondary,1-1K,Unknown,may,0
18-25,admin.,single,secondary,1-1K,Unknown,may,0
18-25,admin.,single,secondary,1K-5K,Unknown,may,0
18-25,admin.,single,tertiary,1K-5K,Unknown,may,0
18-25,admin.,single,secondary,1-1K,Unknown,may,0
18-25,admin.,married,secondary,1-1K,Unknown,may,0
18-25,admin.,single,secondary,1-1K,Unknown,may,0
18-25,admin.,single,secondary,<=0,Unknown,may,0
18-25,admin.,single,Unknown,<=0,Unknown,may,0
18-25,admin.,single,secondary,1-1K,Unknown,may,0
18-25,admin.,single,secondary,1K-5K,Unknown,may,0
18-25,admin.,single,secondary,1K-5K,Unknown,may,0
18-25,admin.,married,secondary,1-1K,Unknown,may,0
18-25,admin.,single,secondary,1K-5K,Unknown,may,0
18-25,admin.,single,secondary,1-1K,Unknown,jun,0
18-25,admin.,single,tertiary,1-1K,Unknown,jun,0
18-25,admin.,single,secondary,1-1K,Unknown,jun,0
18-25,admin.,married,secondary,1-1K,Unknown,jun,0
18-25,admin.,married,secondary,1-1K,Unknown,jun,0
18-25,admin.,married,secondary,1-1K,Unknown,jun,0
18-25,admin.,single,secondary,<=0,Unknown,jun,0
18-25,admin.,single,secondary,1-1K,Unknown,jun,0
18-25,admin.,single,secondary,1-1K,Unknown,jun,0
18-25,admin.,married,secondary,1-1K,Unknown,jun,0
18-25,admin.,single,secondary,1-1K,Unknown,jun,0
18-25,admin.,single,secondary,<=0,Unknown,jul,0
18-25,admin.,single,secondary,<=0,cellular,jul,0
18-25,admin.,married,secondary,1-1K,cellular,jul,0
