customer_key,age_group,job,marital,education,balance_bucket
e9a08852-8b03-41d3-81e2-0c07c261e416,26-35,admin.,divorced,secondary,1-1K
54c7f7ee-090b-45a2-af41-c2d2e53cd744,26-35,blue-collar,divorced,secondary,1-1K
a6bb6cef-3da5-484a-859d-6194e5894270,26-35,management,divorced,tertiary,1-1K
b1c550d6-658c-4aec-b007-fb3bac132c55,26-35,services,divorced,secondary,1-1K
2c243524-4470-4b72-b19a-7b72f3d29276,26-35,services,divorced,secondary,1-1K
0b822817-390c-4548-81b8-b46550f7c16d,36-45,admin.,divorced,tertiary,1-1K
cafe7897-7cb2-465b-977c-df7d9d43b687,36-45,blue-collar,divorced,secondary,1-1K
b179a150-cd7d-4f80-8de9-1273d02d9d7a,36-45,blue-collar,divorced,secondary,1-1K
66f7361b-1991-4ac3-8f08-130a0cc0cf40,36-45,management,divorced,secondary,1-1K
7120ea62-b871-43f1-a184-1307127cc078,36-45,management,divorced,secondary,1-1K
3c8f8e92-78c2-4f79-8da0-166d493de8b6,36-45,management,divorced,tertiary,1-1K
6b79247c-2b0e-4a1c-b2ba-cdc69beb3d54,36-45,services,divorced,secondary,1-1K
a50352a2-cc3d-4d5b-96da-340ae143950c,36-45,services,divorced,secondary,1-1K
36a143bf-d6d0-4ac8-a073-9fa417fbe1ee,36-45,services,divorced,secondary,1-1K
ec00a6db-b002-436c-bb73-14e7e808a453,36-45,services,divorced,primary,1-1K
a95b97f1-9257-41ec-b355-105d67a4b59d,36-45,services,divorced,secondary,1-1K
dc8c329a-9ed4-4ec3-88c1-2df6bec512f7,36-45,technician,divorced,secondary,1-1K
4c96729c-57c1-455f-9ea6-f6b33e619bef,36-45,technician,divorced,secondary,1-1K
693997c1-612c-4827-9190-6e7a40f41c12,36-45,technician,divorced,secondary,1-1K
659bdcc6-fac6-412c-a9d4-90a8923432d6,46-55,housemaid,divorced,primary,1-1K
fabcd4fd-cfb5-4eb2-8203-22cf43faca31,46-55,management,divorced,tertiary,1-1K
39df6aba-8401-4367-9766-ff9254b0f4e5,46-55,management,divorced,tertiary,1-1K
66dfaee4-071f-417c-82cb-db75be70d76c,46-55,services,divorced,secondary,1-1K
1a82327a-3127-4778-848a-bf8d75827af2,46-55,services,divorced,secondary,1-1K
6517111c-d18c-4a47-81a9-0bf1a82ebc89,46-55,technician,divorced,tertiary,1-1K
b1d834dd-0a30-4034-b598-5952193905a8,46-55,technician,divorced,tertiary,1-1K
